2050;0.45;1467
2342;0.1;1404
2142;0.35;1451
2053;0.3;1419
2068;0.35;1435
2132;0.4;1467
2139;0.4;1466
2054;0.3;1420
2143;0.25;1388
2139;0.2;1342
2144;0.3;1419
2139;0.35;1451
2136;0.35;1435
2054;0.3;1420
2150;0.2;1342
2050;0.5;1482
2148;0.4;1466
2413;0.1;1279
2144;0.2;1342
2506;0.05;1263
2224;0.3;1436
2139;0.3;1404
2050;0.35;1435
2050;0.5;1466
2050;0.45;1482
2139;0.4;1467
2164;0.1;1279
2050;0.4;1451
2142;0.45;1466
1990;0.4;1466
2137;0.35;1436
2144;0.4;1466
2054;0.3;1420
2053;0.25;1388
2142;0.35;1451
2138;0.4;1451
2140;0.5;1466
2338;0.15;1310
2054;0.25;1373
2080;0.5;1451
2050;0.3;1420
2142;0.45;1482
2053;0.5;1482
2139;0.4;1482
2132;0.25;1388
2148;0.35;1513
2050;0.5;1482
2050;0.25;1404
2132;0.35;1482
1991;0.5;1467
2054;0.5;1466
2230;0.2;1342
2144;0.25;1404
2052;0.2;1326
2052;0.25;1388
2148;0.3;1435
2139;0.3;1435
2054;0.35;1451
2150;0.25;1404
2148;0.5;1451
2426;0.1;1279
2146;0.3;1420
2144;0.3;1404
2152;0.5;1482
